"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"24";"Suicide bombing";"12";"30";"Inkhil, Syria";"A suicide bomber left 12 people dead and at least 30 injured.[115]";"Islamic State";"Syrian civil war";"September";"2016"
"24";"Shooting, suicide bombing";"18 (+3)";"21+";"Tikrit, Iraq";"A series of shootings and a suicide car bombing at a checkpoint in Tikrit left 18 people dead and at least 21 injured. This was the first such attack in Tikrit since the city was recaptured from the Islamic State in April 2015.[116]";"Islamic State";"Iraqi Civil War";"September";"2016"
"24";"Execution";"25";"0";"Nineveh, Iraq";"Islamic State executed 25 civilians for allegedly cooperating with Iraqi security forces.[117]";"Islamic State";"Iraqi Civil War";"September";"2016"
"24";"Shooting";"1";"0";"Amman, Jordan";"A gunman shot dead prominent Jordanian writer Nahed Hattar outside a court where he was facing charges for sharing a cartoon deemed offensive to Islam.[118]";"Riad Ismaeel Abdullah (Lone Wolf)";"";"September";"2016"
"24";"Bombing";"0";"2";"Budapest, Hungary";"A 'nail bomb' exploded in central Budapest injuring 2 police officers. The investigation into the explosion is still ongoing.[119][120]";"Right-wing extremists (suspected)";"";"September";"2016"
"25";"Execution";"100+";"0";"Iraq";"A video showed the Islamic State executing at least 100 captured Iraqi civilians.[121]";"Islamic State";"Iraqi Civil War";"September";"2016"
"25";"Roadside bomb";"4";"19";"Kaduna State, Nigeria";"Four soldiers and civilian JTF members died in Borno towns of Miyanti and Dareljamal after an ambush on the army by the insurgents
[122]";"Boko Haram";"Boko Haram insurgency";"September";"2016"
"25";"Shooting";"4 (+7)";"6 (+unknown)";"Kaïga, Chad";"Boko Haram members attacked a Chad National Army position near the border with Niger. They killed four soldiers and injured six others. Seven terrorist were killed too.[123]";"Boko Haram";"Boko Haram insurgency";"September";"2016"
"25";"Suicide bombing";"6 (+1)";"18";"Baghdad, Iraq";"A suspected Islamic State suicide bomber blew himself up amidst a group of Shiite pilgrims killing six and wounding eighteen.[124]";"Islamic State";"Iraqi Civil War";"September";"2016"
"25";"Roadside bombing";"1";"6";"Rafah, Sinai, Egypt";"At least one civilian was killed and six others were injured Sunday after a bomb exploded in the north of the Sinai Peninsula in Egypt, as reported by the local state news agency MENA. According to these reports, the bomb has exploded on the road between the towns of Rafah, on the border with the Gaza Strip, and Sheikh Zuweid. For the moment, no group has claimed responsibility for the attack, but ISIS is suspected.[125]";"Islamic State";"Sinai Insurgency";"September";"2016"
