"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
13;"Car bombing";"4+";"7+";"Azaz, Syria";"At least four people were killed and another seven injured in a car bomb attack in Azaz.[83]";"Jaysh al-Islam (suspected)";"Syrian Civil War";"July";"2017"
13;"Shooting";"4";"Unknown";"Quetta, Pakistan";"Gunmen have ambushed a vehicle carrying a senior police officer in Quetta, killing the officer and three other policemen.[84]";"Lashkar-e-Jhangvi (suspected)";"War in North-West Pakistan";"July";"2017"
13;"Shooting";"5";"2+";"Lamu, Kenya";"Five security personnel were killed when they tried to defend a Kenyan government official from Somali-based al-Shabaab militants. Then the Kenyan government official and her nephew were injured and abducted by the militants.[85]";"Al-Shabaab";"Spillover of the War in Somalia";"July";"2017"
13;"Execution";"1";"0";"Sulu Province, Philippines";"The military said that a bullet-riddled body of Vietnamese national Tran Viet Van was recovered in Barangay (village) Buhanginan in Patikul town, Sulu province.[86]";"Abu Sayyaf";"Moro Conflict";"July";"2017"
14;"Shooting";"3";"0";"Bihar, India";"Three people including a woman suspected to be police informer were killed Friday by Naxals rebel group in India's eastern state of Bihar.[87]";"CPI";"Naxalite–Maoist insurgency";"July";"2017"
14;"Suicide bombings";"0 (+2)";"3";"Gardez, Afghanistan";"Two suicide bombers were killed and three passersby wounded after the assailants chased by police detonated their explosives in Afghanistan's eastern city of Gardez.[88]";"Taliban (suspected)";"War in Afghanistan";"July";"2017"
14;"Ambush";"5";"0";"Giza Governorate, Egypt";"Gunmen ambushed an Egyptian security checkpoint, killing five policemen in an area just south of the capital.[89]";"The Hasm Movement";"Insurgency in Egypt";"July";"2017"
14;"Shooting";"2 (+3)";"1";"Jerusalem, Israel";"2017 Temple Mount shooting: Three Arab citizens of Israel opened fire on Israeli police officers at the Temple Mount. They hit them near the Lions' Gate and fled to mosques of the mount. Three officers were shot and injured, two of them critically. The three attackers, that were armed with rifles and a handgun, were all shot dead by police.[90][91]";"Islamic Jihad Movement in Palestine (suspected)";"Israeli–Palestinian conflict";"July";"2017"
14;"Bombing";"1";"1";"Baghdad, Iraq";"A policeman was killed and another was wounded as a bomb blast targeted their patrol in western Baghdad.[92]";"Islamic State";"Iraqi Civil War";"July";"2017"
14;"Shooting";"1";"1";"Al-Qatif, Saudi Arabia";"A Saudi soldier was killed and another was wounded in a shooting attack on their patrol vehicle in the kingdom's Qatif province.[93]";"Shia militants";"2017 Qatif unrest";"July";"2017"
14;"Execution";"1";"0";"Lamu, Kenya";"The nephew of a Kenyan government official, who where both kidnapped on the 13 July, was found dead the day after.[94]";"Al-Shabaab";"Spillover of the War in Somalia";"July";"2017"
14;"Stabbing";"3";"3";"Hurghada, Egypt";"2017 Hurghada attack: Two German tourists and a Czech citizen, who succumb to her wounds on 27 July in an hospital in Cairo, were killed and three other tourists were injured when a knifeman attacked a holiday resort in Hurghada. The attacker communicated with the Islamic State via internet and was given the task of attacking foreign tourists on Hurghada beaches by the group.[95][96]";"Islamic State";"Insurgency in Egypt";"July";"2017"
15;"Shooting";"4";"1";"Zabul Province, Afghanistan";"At least four policemen were killed in a clash with Taliban in Zabul province.[97]";"Taliban";"War in Afghanistan";"July";"2017"
15;"Bombing";"0";"1";"Kulgam district, India";"A Central Reserve Police Forces (CRPF) trooper was injured in a grenade attack by terrorists on a security forces' patrolling party in Laroo area of Kulgam district in Kashmir.[98]";"Lashkar-e-Taiba (suspected)";"Insurgency in Jammu and Kashmir";"July";"2017"
15;"Car bombings";"2";"7";"Baghdad, Iraq";"Two car bombings in different locations of Baghdad leave two dead, and seven injured.[99][100]";"Islamic State";"Iraqi Civil War";"July";"2017"
15;"Bombing";"0";"3";"Narathiwat, Thailand";"Two policeman and one civilian were wounded after a motorcycles bomb exploded on Ban Pupor bridge in Narathiwat as a police petrol was acrossing the bridge.[101]";"Runda Kumpulan Kecil (suspected)";"South Thailand insurgency";"July";"2017"
15;"Bombing";"1";"1";"Jere, Nigeria";"A 12-year-old Fulani cattle breeder was killed in a bomb blast at Muna Delti area of Jere Local Government Council of Borno State.[102]";"Boko Haram";"Boko Haram insurgency";"July";"2017"
15;"Bombing";"3";"0";"Qasahdhere District, Somalia";"Three soldiers, including a military colonel were killed when an improvised explosive device (IED), emplaced on the roadside by Harakat al-Shabaab al-Mujahideen militants, detonated near the town of Qansadhere in Somalia's Bay.[103]";"Al Shabaab";"War in Somalia";"July";"2017"
16;"Shooting";"2";"1";"Antioquia Department, Colombia";"A soldier died in northwest Colombia during a clash with members of the ELN guerrilla group, authorities said. In another incident a soldier was shot dead by members of Clan del golfo when he was in the company of his family, his wife was injured in the incident.[104]";"ELN and Clan del Golfo";"Colombian conflict";"July";"2017"
16;"Car bombing";"1";"0";"Baghdad, Iraq";"A bomb, placed under a car of a civil servant who works for Health Ministry, exploded as he was passing on the highway in Abu Ghraib region in western Baghdad, which caused his immediate death.[105]";"Islamic State";"Iraqi Civil War";"July";"2017"
16;"Shooting";"5";"3";"Shabwah, Yemen";"Five Yemeni soldiers were killed and three wounded when gunmen suspected of ties to Al-Qaeda opened fire on a military checkpoint.";"Al-Qaeda in the Arabian Peninsula";"Yemeni Civil War";"July";"2017"
16;"Ambush";"1";"0";"Tessit, Mali";"A Malian soldier was killed by Islamist militants in an ambush in Tessit, a small town and commune in the Cercle of Ansongo.[106]";"Al-Qaeda in the Islamic Maghreb (suspected)";"Insurgency in the Maghreb";"July";"2017"
16;"Shooting";"1";"4";"Caracas, Venezuela";"A Venezuelan woman was killed and four others wounded when a pro-government armed group opened fire at the El Carmen Church polling station in Catia, a neighbourhood in Caracas.[107]";"MRT (suspected)";"Venezuelan protests";"July";"2017"
