"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
27;"Suicide bombing";"9 (+1)";"13";"Kabul, Afghanistan";"In Kabul, a suicide bombing near the Ministry of Defense was claimed by the Taliban killed more than nine people and injured 13 others.[57]";"Taliban";"War in Afghanistan";"February";"2016"
27;"Bombing";"2";"2";"Rafah, Sinai, Egypt";"At least two Egyptian police officers have been killed and two others injured when a roadside bomb explosion struck their armored vehicle in the country's volatile Sinai Peninsula. Islamic State affiliated Wilayat Sayna claimed the responsibility.[58]";"Wilayat Sayna";"Sinai Insurgency";"February";"2016"
27;"Attempted arson";"0";"0";"Enschede, Netherlands";"Five right-wing extremists threw petrol bombs at a Moroccan mosque in an attempt to destroy the building while people were still inside.[59]";"Right-wing extremists";"";"February";"2016"
28;"Bomb";"78 (+2)";"100+";"Sadr City Baghdad, Iraq";"February 2016 Baghdad bombings: Up to 70 people were killed and 60 wounded in Sadr City, a southern suburb of the Iraqi capital, as two bombs went off at a crowded market. The explosions ripped through a market selling mobile phones in the mainly Shiite Muslim district. The assailants were suicide bombers riding motorcycles through the crowd.[60]";"Islamic State";"Iraqi Civil War";"February";"2016"
28;"Suicide bombing";"30+ (+2)";"40+";"Baidoa, Somalia";"Two suicide bombers attacked a busy junction and a restaurant in the Somali town Baidoa. 17 people, mostly civilians were killed and another 25 were injured. Al-Shabaab claimed responsibility, saying they targeted government officials and security forces.[61][62]";"Al-Shabaab";"War in Somalia";"February";"2016"
28;"Shooting";"1";"0";"Arish, Sinai, Egypt";"A policeman was killed in North Sinai's al-Arish city in a shooting during the early hours of Sunday, said a source in the Interior Ministry. Unidentified masked men fired at the policeman outside his house, an official added. No group claimed responsibility, but Islamic State affiliated Wilayat Sayna is suspected.[39]";"Wilayat Sayna (suspected)";"Sinai Insurgency";"February";"2016"
29;"Melee attack";"1";"0";"Moscow, Russia";"A nanny was arrested in Moscow to have beheaded a 4-year-old child she was supposed to keep. His nanny, Gultchekhra Bobokoulova, 39, was arrested near a metro station in the northwest of Moscow with the head of the girl in a plastic bag, says this chain known for its links with the security services Russian. According to Interfax, the nanny is a native of Uzbekistan, former Soviet republic of predominantly Muslim Central Asia.[63]According to several witnesses quoted by Russian media, the nanny would have shouted \"Allah Akbar!\" at the time of the arrest.";"Gultchekhra Bobokoulova";"";"February";"2016"
29;"Suicide car bombing";"4 (+1)";"5";"Aden, Yemen";"A suicide bomber driving a car bomb blew himself up amid a gathering of loyalist forces.[64]";"Unknown";"Yemeni Civil War";"February";"2016"
29;"Suicide bombing";"40";"58";"Muqdadiya, Iraq";"The death toll in a suicide bombing in Iraq's eastern province of Diyala rose to 24. A further 55 people were wounded in the attack at a funeral for a Shi'ite Muslim militia fighter in Muqdadiya, 80 km (50 miles) northeast of Baghdad.[65]";"Islamic State";"Iraqi Civil War";"February";"2016"
29;"Attack";"13";"0";"Ntombi, Democratic Republic of Congo";"Thirteen civilians were killed by suspected Ugandan rebels in the Beni territory in eastern DRC. The killings took place in the village of Ntombi, located about 40 km northeast of Beni, an area massacres and recurrent attacks attributed to Allied Democratic Forces, a rebel group opposed to the Ugandan government and is considered a terrorist organisation.[66]";"Allied Democratic Forces";"Allied Democratic Forces insurgency";"February";"2016"
29;"Suicide bombing";"6 (+4)";"7";"Haditha, Iraq";"Suicide bombers attacked late in the evening of 29 February the headquarters of the army in the Haditha area in the western province of Anbar, killing Brigadier Ali Abboud, Lt. Col. Farhan Ibrahim and four other military, Iraqi official sources reported. Seven other soldiers were injured.[67]";"Islamic State";"Iraqi Civil War";"February";"2016"
